dataset,model_label,k,recall
coco,$FLAVA_{\mathrm{Image}}$,55,96.74000000000001
coco,$FLAVA_{\mathrm{Image}}$,56,96.78
coco,$FLAVA_{\mathrm{Image}}$,57,96.88
coco,$FLAVA_{\mathrm{Image}}$,58,96.92
coco,$FLAVA_{\mathrm{Image}}$,59,97.02
coco,$FLAVA_{\mathrm{Image}}$,60,97.16
coco,$FLAVA_{\mathrm{Image}}$,61,97.22
coco,$FLAVA_{\mathrm{Image}}$,62,97.3
coco,$FLAVA_{\mathrm{Image}}$,63,97.34
coco,$FLAVA_{\mathrm{Image}}$,64,97.39999999999999
coco,$FLAVA_{\mathrm{Image}}$,65,97.46000000000001
coco,$FLAVA_{\mathrm{Image}}$,66,97.52
coco,$FLAVA_{\mathrm{Image}}$,67,97.64
coco,$FLAVA_{\mathrm{Image}}$,68,97.72
coco,$FLAVA_{\mathrm{Image}}$,69,97.84
coco,$FLAVA_{\mathrm{Image}}$,70,97.88
coco,$FLAVA_{\mathrm{Image}}$,71,97.89999999999999
coco,$FLAVA_{\mathrm{Image}}$,72,97.96000000000001
coco,$FLAVA_{\mathrm{Image}}$,73,98.02
coco,$FLAVA_{\mathrm{Image}}$,74,98.06
coco,$FLAVA_{\mathrm{Image}}$,75,98.16
coco,$FLAVA_{\mathrm{Image}}$,76,98.18
coco,$FLAVA_{\mathrm{Image}}$,77,98.22
coco,$FLAVA_{\mathrm{Image}}$,78,98.22
coco,$FLAVA_{\mathrm{Image}}$,79,98.22
coco,$FLAVA_{\mathrm{Image}}$,80,98.26
coco,$FLAVA_{\mathrm{Image}}$,81,98.3
coco,$FLAVA_{\mathrm{Image}}$,82,98.34
coco,$FLAVA_{\mathrm{Image}}$,83,98.36
coco,$FLAVA_{\mathrm{Image}}$,84,98.4
coco,$FLAVA_{\mathrm{Image}}$,85,98.4
coco,$FLAVA_{\mathrm{Image}}$,86,98.44000000000001
coco,$FLAVA_{\mathrm{Image}}$,87,98.5
coco,$FLAVA_{\mathrm{Image}}$,88,98.52
coco,$FLAVA_{\mathrm{Image}}$,89,98.56
coco,$FLAVA_{\mathrm{Image}}$,90,98.6
coco,$FLAVA_{\mathrm{Image}}$,91,98.61999999999999
coco,$FLAVA_{\mathrm{Image}}$,92,98.64
