pipeline,endpoint,model_group,index,file_name,query_count,batch_time_seconds,batch_energy_total_mj,avg_embedding_generation_time,avg_retrieval_time,avg_reranking_time,avg_rrf_fusion_time,avg_total_time,avg_overhead_time,avg_candidate_prep_time,median_embedding_generation_time,median_retrieval_time,median_reranking_time,median_rrf_fusion_time,median_total_time,median_overhead_time,median_candidate_prep_time
ensemble,rrf,openclip+uniir,hnsw,openclip_uniir_hnsw_rrf_ensemble_0.json,1000,71.046380687505,2259584.0,0.0205425543095916,0.0303060656869784,,0.000756645809859,0.0667478735521435,0.0151426077457144,,0.0200264756567776,0.0304775200784206,,0.0002435892820358,0.066222331020981,0.0148359052836894,
ensemble,rrf,openclip+uniir,ivfpq,openclip_uniir_ivfpq_rrf_ensemble_0.json,1000,48.44128453359008,1628156.0,0.0194396869232878,0.0087510180892422,,0.000583136877045,0.0440541862137615,0.0152803443241864,,0.0186685640364885,0.0083600562065839,,0.0001643723808228,0.0426618652418255,0.0144112147390842,
rerank,retrieve_and_rerank_qwen,clip,hnsw,clip_hnsw_rerank_qwen_0.json,1000,1141.3608080837876,185779729.0,0.0094918942274525,0.0252221284313127,1.0533342205602676,,1.1217500114887953,0.0337017682697624,0.0103159998152405,0.0090799126774072,0.0256168274208903,1.0541549264453351,,1.1218506479635837,0.0324248927645385,0.0103235733695328
rerank,retrieve_and_rerank_qwen,clip,ivfpq,clip_ivfpq_rerank_qwen_0.json,1000,1129.470670633018,186641004.0,0.0101514773573726,0.0048035422861576,1.0596723834266886,,1.1095955963097512,0.0349681932395324,0.0108299509231001,0.0095199579373002,0.0048820059746503,1.0535796908661723,,1.1027751793153584,0.0333987679332494,0.010593369603157
rerank,retrieve_and_rerank_qwen,clip,knn,clip_knn_rerank_qwen_0.json,1000,1169.8299860069528,193775074.0,0.0095588228609412,0.0454906689273193,1.059226290310733,,1.1499817455578596,0.0357059634588658,0.0106752733550965,0.0091217369772493,0.045504936017096,1.0547099309042096,,1.1454275557771323,0.0340198194608092,0.0103561012074351
rerank,retrieve_and_rerank_qwen,flava,hnsw,flava_hnsw_rerank_qwen_0.json,1000,1123.7559273680672,181281062.0,0.0140675417166203,0.0164309793505817,1.0401060999091714,,1.1045307894432916,0.0339261684669181,0.0103830482801422,0.0137181980535388,0.0161401233635842,1.0356210474856198,,1.0993834948167205,0.0329422648064792,0.0102333240211009
rerank,retrieve_and_rerank_qwen,flava,ivfpq,flava_ivfpq_rerank_qwen_0.json,1000,1108.4122996926308,178717091.0,0.0139392863102257,0.0047505808826535,1.0362572609251366,,1.0897547457180918,0.0348076176000759,0.0100862392000854,0.0132341217249631,0.0047339824959635,1.0343849412165582,,1.0886031952686608,0.0336071238853037,0.0097468639723956
rerank,retrieve_and_rerank_qwen,flava,knn,flava_knn_rerank_qwen_0.json,1000,1157.5540139833463,189055291.0,0.0139764002664014,0.0455165395988151,1.0441012306408957,,1.1382869587643072,0.0346927882581949,0.0103251374494284,0.0135871050879359,0.0455196155235171,1.0395439458079636,,1.132484477944672,0.0335220848210155,0.0100644370540976
rerank,retrieve_and_rerank_blip2,openclip,hnsw,openclip_hnsw_rerank_0.json,1000,13542.6632013591,367105956.0,0.0111349475048482,0.018964228910394,4.597097967694514,,4.63437752029486,0.0071803761851042,8.899113770106807,0.0101407510228455,0.0189087418839335,4.57832518639043,,4.616059378255159,0.006305759306997,9.657757626846433
rerank,retrieve_and_rerank_qwen,openclip,hnsw,openclip_hnsw_rerank_qwen_0.json,1000,1125.2809435501697,180866898.0,0.0102913774075867,0.0230090465018117,1.0399908386976635,,1.106758715285052,0.0334674526779899,0.0106346606290046,0.0097572728991508,0.0227268524467945,1.039759634528309,,1.106172155123204,0.0324491732753813,0.0103850034065544
rerank,retrieve_and_rerank_blip2,openclip,ivfpq,openclip_ivfpq_rerank_0.json,1000,17440.121942643076,373918124.0,0.0105844555189833,0.0062284988686442,4.638487631733529,,4.663350228839554,0.008049642718397,12.767875456399285,0.0099224960431456,0.0051229540258646,4.61138661345467,,4.637518476229161,0.0075400853529572,13.059774061199278
rerank,retrieve_and_rerank_qwen,openclip,ivfpq,openclip_ivfpq_rerank_qwen_0.json,1000,1138.0497656688094,183284152.0,0.0103605808195104,0.0046855917970165,1.0675099520162197,,1.117710534755025,0.0351544101222781,0.010797122700762,0.0099972849711775,0.0048279277980327,1.0610022135078907,,1.1110865059308708,0.0337701309472322,0.0105881374329328
rerank,retrieve_and_rerank_blip2,openclip,knn,openclip_knn_rerank_0.json,1000,9102.375500967726,392851296.0,0.0103736030431464,0.0489261436164379,4.625962445043028,,4.692025088721886,0.0067628970192745,4.40141124898754,0.0097881169058382,0.0488460077904164,4.588223363738507,,4.655135982204229,0.0061965901404619,2.8630632665008307
rerank,retrieve_and_rerank_qwen,openclip,knn,openclip_knn_rerank_qwen_0.json,1000,1162.6106668505818,191309811.0,0.0101480377955479,0.0454875734905983,1.052957522929893,,1.1433524321028226,0.0347592978867831,0.0103945852498765,0.0097886491566896,0.0454924888908863,1.048674589022994,,1.1397490436211228,0.0333477584645152,0.0101061882451176
rerank,retrieve_and_rerank_qwen,uniir,hnsw,uniir_hnsw_rerank_qwen_0.json,1000,1143.2073721745985,187675033.0,0.0106360927904024,0.024776080161333,1.055298373051919,,1.12439046906773,0.0336799230640754,0.0097901989025995,0.0103009864687919,0.0251760366372764,1.0516791683621705,,1.1200739787891507,0.032617887482047,0.0096984542906284
rerank,retrieve_and_rerank_qwen,uniir,ivfpq,uniir_ivfpq_rerank_qwen_0.json,1000,1120.202442300506,185449774.0,0.0112824970576912,0.0047373316120356,1.0498430630890652,,1.1004834572533146,0.0346205654945224,0.0106956246523186,0.010753255803138,0.0048896512016654,1.0445899879559877,,1.0947579289786518,0.033350043464452,0.0105113605968654
rerank,retrieve_and_rerank_qwen,uniir,knn,uniir_knn_rerank_qwen_0.json,1000,1173.328699845821,194227617.0,0.0106790985446423,0.0454907638132572,1.0627250173632057,,1.1536865386478603,0.0347916589267551,0.010448499334976,0.0103405406698584,0.0455021890811622,1.0569075350649657,,1.147445583716035,0.0333853159099817,0.0103760017082095
single,retrieve,openclip,hnsw,openclip_hnsw_single_0.json,1000,38.90279076807201,1155343.0,0.0100970912752673,0.0158632176676765,,,0.034989265654236,0.0090289567112922,,0.0096203288994729,0.0151008153334259,,,0.0343927652575075,0.0086533189751207,
single,retrieve,openclip,ivfpq,openclip_ivfpq_single_0.json,1000,28.47913048788905,757950.0,0.0102255914239212,0.0046239177249372,,,0.0240863569984212,0.0092368478495627,,0.0097005711868405,0.004722380079329,,,0.0236104684881865,0.0087641375139355,
single,retrieve,openclip,knn,openclip_knn_single_0.json,1000,64.55460037011653,6449996.0,0.0096894533568993,0.0425214975718408,,,0.0602385087078437,0.0080275577791035,,0.0089952289126813,0.042496042791754,,,0.0582871637307107,0.0065823937766253,
